Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolation_Source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,sample,Strand
SRR9260993,WGS,452,2603927823,PRJNA484416,SAMN09764390,Metagenome or environmental,1328077423,INGEBI-CONICET,2014-11-05,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6031492,Argentina,South America,Argentina: Buenos Aires,Illumina HiSeq 1500,activated sludge,34.47 S 58.59 W,AS_LE_Shot_42,PAIRED,RANDOM,METAGENOMIC,activated sludge metagenome,ILLUMINA,2019-06-19T00:00:00Z,AS_LE_Shot_42_R1,SRP200988,,Forward
SRR9260994,WGS,451,2571102924,PRJNA484416,SAMN09764388,Metagenome or environmental,1301109911,INGEBI-CONICET,2014-10-17,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6031491,Argentina,South America,Argentina: Buenos Aires,Illumina HiSeq 1500,activated sludge,34.47 S 58.59 W,AS_LE_Shot_41,PAIRED,RANDOM,METAGENOMIC,activated sludge metagenome,ILLUMINA,2019-06-19T00:00:00Z,AS_LE_Shot_41_R1,SRP200988,,Forward
SRR9260995,WGS,457,2613941070,PRJNA484416,SAMN09764426,Metagenome or environmental,1331561247,INGEBI-CONICET,2015-09-24,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6031490,Argentina,South America,Argentina: Buenos Aires,Illumina HiSeq 1500,activated sludge,34.47 S 58.59 W,AS_LE_Shot_60,PAIRED,RANDOM,METAGENOMIC,activated sludge metagenome,ILLUMINA,2019-06-19T00:00:00Z,AS_LE_Shot_60_R1,SRP200988,,Forward
SRR9260996,WGS,412,3463374107,PRJNA484416,SAMN09764402,Metagenome or environmental,1757947184,INGEBI-CONICET,2015-02-19,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6031489,Argentina,South America,Argentina: Buenos Aires,Illumina HiSeq 1500,activated sludge,34.47 S 58.59 W,AS_LE_Shot_48,PAIRED,RANDOM,METAGENOMIC,activated sludge metagenome,ILLUMINA,2019-06-19T00:00:00Z,AS_LE_Shot_48_R1,SRP200988,,Forward
SRR9260997,WGS,385,2284691982,PRJNA484416,SAMN09764316,Metagenome or environmental,1137070437,INGEBI-CONICET,2013-01-30,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6031488,Argentina,South America,Argentina: Buenos Aires,Illumina HiSeq 1500,activated sludge,34.47 S 58.59 W,AS_LE_Shot_05,PAIRED,RANDOM,METAGENOMIC,activated sludge metagenome,ILLUMINA,2019-06-19T00:00:00Z,AS_LE_Shot_05_R1,SRP200988,,Forward
SRR9260998,WGS,399,2236434104,PRJNA484416,SAMN09764318,Metagenome or environmental,1115970159,INGEBI-CONICET,2013-02-19,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6031487,Argentina,South America,Argentina: Buenos Aires,Illumina HiSeq 1500,activated sludge,34.47 S 58.59 W,AS_LE_Shot_06,PAIRED,RANDOM,METAGENOMIC,activated sludge metagenome,ILLUMINA,2019-06-19T00:00:00Z,AS_LE_Shot_06_R1,SRP200988,,Forward
SRR9260999,WGS,453,2280283141,PRJNA484416,SAMN09764400,Metagenome or environmental,1163657362,INGEBI-CONICET,2015-01-28,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6031486,Argentina,South America,Argentina: Buenos Aires,Illumina HiSeq 1500,activated sludge,34.47 S 58.59 W,AS_LE_Shot_47,PAIRED,RANDOM,METAGENOMIC,activated sludge metagenome,ILLUMINA,2019-06-19T00:00:00Z,AS_LE_Shot_47_R1,SRP200988,,Forward
SRR9261000,WGS,452,2234055660,PRJNA484416,SAMN09764322,Metagenome or environmental,1138714668,INGEBI-CONICET,2013-03-27,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6031485,Argentina,South America,Argentina: Buenos Aires,Illumina HiSeq 1500,activated sludge,34.47 S 58.59 W,AS_LE_Shot_08,PAIRED,RANDOM,METAGENOMIC,activated sludge metagenome,ILLUMINA,2019-06-19T00:00:00Z,AS_LE_Shot_08_R1,SRP200988,,Forward
SRR9261001,WGS,439,2228921031,PRJNA484416,SAMN09764308,Metagenome or environmental,1138549628,INGEBI-CONICET,2012-11-28,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6031484,Argentina,South America,Argentina: Buenos Aires,Illumina HiSeq 1500,activated sludge,34.47 S 58.59 W,AS_LE_Shot_01,PAIRED,RANDOM,METAGENOMIC,activated sludge metagenome,ILLUMINA,2019-06-19T00:00:00Z,AS_LE_Shot_01_R1,SRP200988,,Forward
SRR9261002,WGS,405,2308767767,PRJNA484416,SAMN09764310,Metagenome or environmental,1161995933,INGEBI-CONICET,2012-12-12,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6031483,Argentina,South America,Argentina: Buenos Aires,Illumina HiSeq 1500,activated sludge,34.47 S 58.59 W,AS_LE_Shot_02,PAIRED,RANDOM,METAGENOMIC,activated sludge metagenome,ILLUMINA,2019-06-19T00:00:00Z,AS_LE_Shot_02_R1,SRP200988,,Forward
