,time_point,type_0.95,crispr,count_bac,count_phage,bac_presence,phage_presence
0,0,0,2,1.0,0.0,0,0
1,0,2,2,10.0,0.0,1,0
2,0,5,2,9.0,0.0,1,0
3,0,6,2,9.0,0.0,1,0
4,0,9,2,3.0,0.0,1,0
5,0,10,2,3.0,0.0,1,0
6,0,15,2,3.0,0.0,1,0
7,0,25,1,1.0,1.0,0,0
8,0,26,2,5.0,0.0,1,0
9,0,32,2,2.0,0.0,1,0
10,0,39,1,2.0,0.0,1,0
11,0,41,2,1.0,0.0,0,0
12,0,42,2,1.0,0.0,0,0
13,0,45,2,5.0,0.0,1,0
14,0,47,1,16.0,15.0,1,1
15,0,48,2,2.0,0.0,1,0
16,0,59,1,11.0,13.0,1,1
17,0,67,1,14.0,14.0,1,1
18,0,70,1,1.0,1.0,0,0
19,0,77,1,2.0,11.0,1,1
20,0,81,2,1.0,0.0,0,0
21,0,83,1,11.0,10.0,1,1
22,0,88,1,20.0,21.0,1,1
23,0,92,2,1.0,0.0,0,0
24,0,117,1,15.0,15.0,1,1
25,0,137,1,1.0,0.0,0,0
26,0,141,1,1.0,1.0,0,0
27,0,145,1,15.0,13.0,1,1
28,0,148,2,1.0,0.0,0,0
29,0,153,2,1.0,0.0,0,0
30,0,169,1,2.0,0.0,1,0
31,0,174,2,1.0,0.0,0,0
32,0,176,1,1.0,3.0,0,1
33,0,197,1,2.0,16.0,1,1
34,0,198,1,8.0,8.0,1,1
35,0,214,1,1.0,0.0,0,0
36,0,224,1,1.0,11.0,0,1
37,0,236,2,1.0,0.0,0,0
38,0,243,2,1.0,0.0,0,0
39,0,251,2,1.0,0.0,0,0
40,0,275,2,1.0,0.0,0,0
41,0,280,1,1.0,0.0,0,0
42,0,291,1,12.0,13.0,1,1
43,0,292,1,1.0,0.0,0,0
44,0,295,1,8.0,6.0,1,1
45,0,329,2,1.0,0.0,0,0
46,0,352,1,1.0,1.0,0,0
47,0,370,1,15.0,17.0,1,1
48,0,373,1,1.0,0.0,0,0
49,0,382,2,1.0,0.0,0,0
50,0,384,1,11.0,11.0,1,1
51,0,384,2,1.0,0.0,0,0
52,0,420,1,16.0,16.0,1,1
